campaign_id,ad_spend_usd,impressions,clicks,ctr,conversions,conversion_rate,revenue_usd
1,6574.55,282714,4912,0.01737,257,0.05232,25000
2,8975.71,452668,10857,0.02398,170,0.01566,14636.66
3,752.09,48028,1644,0.03423,186,0.11314,16623.51
4,8189.59,333970,13780,0.04126,1965,0.1426,25000
5,2608.37,226263,7157,0.03164,1008,0.14088,25000
6,2601.5,184044,9475,0.05149,1302,0.1374,25000
7,5587.32,441217,13097,0.02968,892,0.06809,25000
8,5948.09,323335,11230,0.03472,1514,0.13486,25000
9,1952.57,158923,6923,0.04355,1217,0.17579,25000
10,4573.39,285875,12579,0.04398,2155,0.1713,25000
11,8911.07,794160,29601,0.03727,5079,0.17153,25000
12,7341.82,593959,29108,0.04899,4179,0.14357,25000
13,8604.73,346330,11730,0.03387,2017,0.17201,25000
14,2013.77,100624,4707,0.04678,903,0.19176,25000
15,3338.43,271755,7903,0.02908,1243,0.15734,25000
16,1589.83,64439,3063,0.04754,592,0.19343,25000
17,4567.6,248634,10281,0.04135,1627,0.15827,25000
18,9859.06,523999,14488,0.02764,1878,0.1297,25000
19,4229.27,199765,8680,0.04343,1505,0.1734,25000
20,9444.72,836557,38552,0.04609,5433,0.14102,25000
21,6244.21,488504,19238,0.03939,2775,0.14423,25000
22,9036.1,632322,24273,0.03838,3713,0.15297,25000
23,7934.01,542539,23138,0.04264,3856,0.16669,25000
24,1067.81,69255,2802,0.04045,340,0.12139,13006.47
25,1548.36,106849,5166,0.04832,516,0.09992,8859.68
26,9220.08,534052,13888,0.02599,1801,0.1297,21426.98
27,1569.2,111971,4120,0.0368,621,0.15073,15446.78
28,7720.67,561166,19314,0.03441,3093,0.16013,25000
29,2218.64,139699,6081,0.04353,758,0.12469,9064.03
30,9524.42,777050,24201,0.03114,4696,0.19402,25000
31,9400.03,365021,9234,0.0253,1171,0.12683,25000
32,8662.78,575892,15931,0.02766,3032,0.19026,25000
33,7322.45,491759,21767,0.04427,4231,0.1944,25000
34,5711.02,321256,14605,0.04548,1668,0.11421,14495.27
35,9178.58,685462,21109,0.03079,3432,0.16255,25000
36,5480.17,298028,11945,0.04007,1839,0.15393,14308.47
37,8899.33,667064,25416,0.03811,4596,0.18083,25000
38,9247.97,843635,26535,0.03146,4530,0.17077,25000
39,5306.46,303665,13809,0.04546,1802,0.13045,22269.23
40,6535.78,446947,12441,0.02784,2382,0.1914,25000
41,6192.42,492223,13353,0.02714,1790,0.13401,10483.33
42,2809.27,214278,6862,0.03203,1252,0.18256,13093.22
43,7231.41,331472,14219,0.0429,2203,0.15495,25000
44,2393.58,187332,8955,0.0478,1582,0.17665,18822.35
45,4519.9,237982,10630,0.04467,1135,0.10677,11145.89
46,8257.27,450103,13639,0.03029,2002,0.14679,11091.16
47,1304.51,68075,3301,0.04849,437,0.13236,8201.16
48,7893.17,727632,23077,0.03173,2815,0.12198,25000
49,2725.95,182421,8561,0.04692,1463,0.17101,25000
50,8458.12,755965,25270,0.03343,4558,0.1803,25000
51,5469.72,347678,16621,0.04781,3120,0.18781,21184.82
52,4174.19,176933,7748,0.04377,1042,0.13447,13236.89
53,8136.56,300260,15070,0.05018,1927,0.12787,21380.88
54,2168.84,83094,2857,0.03439,331,0.11591,6027.54
55,7627.67,423522,12897,0.03044,2371,0.18391,14740.13
56,2483.75,213475,8492,0.03978,1210,0.14249,12246.29
57,9490.69,475725,17521,0.03683,2824,0.16115,20343.09
58,6990.33,493562,15576,0.03156,2177,0.13974,14344.31
59,6998.59,642811,27648,0.04302,4496,0.16263,25000
60,5977.96,339164,12476,0.03678,1707,0.1368,12353.43
61,9454.62,674477,29112,0.04315,5374,0.1846,25000
62,2923.57,235576,9446,0.04008,1712,0.18127,16780.0
63,5340.69,284497,8517,0.02993,1633,0.1917,13906.01
64,8020.29,706150,30252,0.04284,3579,0.11824,25000
65,9213.79,723944,24659,0.03406,4059,0.1646,25000
66,5666.32,376999,11328,0.03004,1798,0.1587,11843.02
67,7553.79,462545,22337,0.04829,4470,0.20007,25000
68,2758.75,174189,7358,0.04225,1055,0.14332,10486.57
69,9697.3,541645,21659,0.03999,3345,0.15436,25000
70,6424.84,355837,18061,0.05076,2656,0.14705,25000
71,2818.12,154096,7613,0.04939,1035,0.13598,4619.02
72,1645.72,120413,3345,0.02778,583,0.17426,10031.27
73,6944.96,573519,19711,0.03437,3452,0.17502,25000
74,4029.24,187648,7998,0.04263,1439,0.17991,19144.67
75,9573.11,749068,22834,0.03048,3653,0.15994,25000
76,8277.44,731102,24722,0.03382,3790,0.15333,21106.44
77,8999.98,603679,17888,0.02964,3432,0.19181,25000
78,5251.82,212997,7683,0.03605,1282,0.16682,17093.66
79,2191.15,102912,3136,0.03048,453,0.1444,7812.18
80,6503.47,496607,24332,0.04896,3078,0.12652,25000
81,6162.83,331683,16302,0.04914,2812,0.17249,18496.91
82,1509.99,62620,2323,0.03708,417,0.17954,6265.04
83,7449.5,505130,21299,0.04218,4101,0.19256,25000
84,5690.12,228643,10841,0.04743,1846,0.17023,12787.54
85,8351.75,446162,13575,0.03043,2608,0.19207,25000
86,7850.59,516441,16923,0.03277,3243,0.19156,25000
87,8860.73,812561,27520,0.03387,4535,0.16472,25000
88,7087.86,598357,27162,0.04539,5431,0.19994,25000
89,1131.14,61538,2060,0.03347,340,0.16505,6890.29
90,2309.41,149986,4767,0.03177,778,0.16316,7768.84
91,6878.23,604209,22071,0.03653,3382,0.15323,18434.56
92,3017.7,236890,10005,0.04223,1906,0.19043,25000
93,4136.33,234799,10467,0.04457,1745,0.1667,21059.72
94,7790.88,395258,14294,0.03617,2086,0.14595,18964.24
95,2327.18,140933,6127,0.04347,844,0.13774,10734.98
96,9255.72,419493,20358,0.04852,3089,0.15176,15984.9
97,4986.37,339559,13112,0.03862,2470,0.1884,18064.67
98,2238.51,153085,6368,0.04157,1189,0.18679,11113.12
99,9135.71,775896,27836,0.03587,3957,0.1422,25000
100,5800.84,278833,12235,0.04387,1957,0.15996,17628.75
